31074943,"0,44%"
31451679,"0,45%"
31477102,"0,45%"
31684328,"0,45%"
32138636,"0,45%"
32203244,"0,46%"
32203303,"0,46%"
32203332,"0,46%"
32205275,"0,46%"
32468830,"0,47%"
32594996,"0,47%"
32697061,"0,47%"
32762056,"0,47%"
32780549,"0,48%"
33157264,"0,48%"
33163943,"0,48%"
33172969,"0,48%"
33243435,"0,49%"
33299156,"0,49%"
33390177,"0,49%"
33448732,"0,49%"
33491069,"0,50%"
33494316,"0,50%"
33721000,"0,50%"
33867484,"0,50%"
33878666,"0,51%"
33898166,"0,51%"
34003674,"0,51%"
34028459,"0,51%"
34036572,"0,52%"
34050682,"0,52%"
34272918,"0,52%"
34504075,"0,52%"
34641559,"0,53%"
34754639,"0,53%"
34789050,"0,53%"
34834709,"0,53%"
34865362,"0,54%"
34887528,"0,54%"
34962236,"0,54%"
35012475,"0,54%"
35109499,"0,55%"
35304891,"0,55%"
35342908,"0,55%"
35359003,"0,55%"
35411009,"0,56%"
35485655,"0,56%"
35540031,"0,56%"
35673628,"0,56%"
35813369,"0,57%"
35930513,"0,57%"
36018811,"0,57%"
36081358,"0,57%"
36185743,"0,58%"
36264933,"0,58%"
36451052,"0,58%"
36453205,"0,58%"
36561031,"0,59%"
36613216,"0,59%"
36655257,"0,59%"
36699885,"0,59%"
36848518,"0,60%"
36928789,"0,60%"
37007840,"0,60%"
37040025,"0,60%"
37048208,"0,61%"
37084524,"0,61%"
37167801,"0,61%"
37219070,"0,61%"
37234783,"0,62%"
37265288,"0,62%"
37293753,"0,62%"
37346867,"0,62%"
37353453,"0,63%"
37859911,"0,63%"
37914497,"0,63%"
37944693,"0,63%"
37959720,"0,64%"
38028756,"0,64%"
38109776,"0,64%"
38162294,"0,64%"
38214051,"0,65%"
38378082,"0,65%"
38705808,"0,65%"
38783011,"0,65%"
38843425,"0,66%"
38919516,"0,66%"
38921786,"0,66%"
38987020,"0,66%"
39014501,"0,67%"
39193276,"0,67%"
39246311,"0,67%"
39522640,"0,67%"
39531529,"0,68%"
39626462,"0,68%"
39637171,"0,68%"
39680260,"0,68%"
39707746,"0,69%"
39746112,"0,69%"
39813150,"0,69%"
39860134,"0,69%"
39914457,"0,70%"
39962236,"0,70%"
39983280,"0,70%"
40047226,"0,70%"
40477644,"0,71%"
40508811,"0,71%"
40523192,"0,71%"
40590276,"0,71%"
40678879,"0,72%"
40704678,"0,72%"
40723839,"0,72%"
40726453,"0,73%"
40911190,"0,73%"
40913322,"0,73%"
41014038,"0,73%"
41123639,"0,74%"
41132279,"0,74%"
41248689,"0,74%"
41404876,"0,74%"
41608706,"0,75%"
41708123,"0,75%"
41747178,"0,75%"
41846601,"0,75%"
42083737,"0,76%"
42139567,"0,76%"
42223174,"0,76%"
42397921,"0,76%"
42491972,"0,77%"
42647501,"0,77%"
42653508,"0,77%"
42705027,"0,77%"
43164029,"0,78%"
43180898,"0,78%"
43187686,"0,78%"
43291552,"0,78%"
43458804,"0,79%"
43681884,"0,79%"
43826314,"0,79%"
43853290,"0,79%"
43924743,"0,80%"
44012254,"0,80%"
44109004,"0,80%"
44302391,"0,80%"
44306158,"0,81%"
44332960,"0,81%"
44360531,"0,81%"
44398409,"0,81%"
44438993,"0,82%"
44463929,"0,82%"
44511468,"0,82%"
44769539,"0,82%"
44795876,"0,83%"
44812991,"0,83%"
44884732,"0,83%"
44894781,"0,83%"
44970450,"0,84%"
44980873,"0,84%"
44989168,"0,84%"
45022481,"0,84%"
45062590,"0,85%"
45099889,"0,85%"
45181189,"0,85%"
45199459,"0,85%"
45303028,"0,86%"
45326501,"0,86%"
45350502,"0,86%"
45397913,"0,86%"
45512230,"0,87%"
45541812,"0,87%"
45594632,"0,87%"
45653362,"0,87%"
45737877,"0,88%"
45758839,"0,88%"
45759751,"0,88%"
45813286,"0,88%"
45894248,"0,89%"
46037933,"0,89%"
46284370,"0,89%"
46682705,"0,89%"
46688311,"0,90%"
46688446,"0,90%"
46700131,"0,90%"
46700578,"0,90%"
46711583,"0,91%"
46731409,"0,91%"
46733818,"0,91%"
46743691,"0,91%"
46744492,"0,92%"
46745443,"0,92%"
46765828,"0,92%"
46780769,"0,92%"
46797515,"0,93%"
46834449,"0,93%"
46865362,"0,93%"
46875877,"0,93%"
46890345,"0,94%"
46890499,"0,94%"
46959063,"0,94%"
46982837,"0,94%"
47006795,"0,95%"
47068288,"0,95%"
47108604,"0,95%"
47123160,"0,95%"
47169792,"0,96%"
47184143,"0,96%"
47226470,"0,96%"
47236570,"0,96%"
47247057,"0,97%"
47256607,"0,97%"
47358433,"0,97%"
47420042,"0,97%"
47424550,"0,98%"
47545885,"0,98%"
47641473,"0,98%"
47772594,"0,98%"
47816570,"0,99%"
47827545,"0,99%"
47883421,"0,99%"
47937094,"0,99%"
47947887,"1,00%"
48115732,"1,00%"
48195245,"1,00%"
48197218,"1,00%"
48249442,"1,01%"
48265563,"1,01%"
48322499,"1,01%"
48458970,"1,01%"
48463788,"1,02%"
48513094,"1,02%"
48598851,"1,02%"
48705706,"1,02%"
48708019,"1,03%"
48789546,"1,03%"
48796405,"1,03%"
48822386,"1,03%"
48848780,"1,04%"
48924826,"1,04%"
48929542,"1,04%"
49136652,"1,04%"
49158410,"1,05%"
49225143,"1,05%"
49393439,"1,05%"
49410028,"1,05%"
49536346,"1,06%"
49548818,"1,06%"
49714700,"1,06%"
49809089,"1,06%"
49860157,"1,07%"
49882828,"1,07%"
49911500,"1,07%"
49967784,"1,07%"
